language,glottocode,iso_639_3,dictionaries,total_entries,total_words,entries_with_audio,audio_hours,video_hours
Ɨshɨr (Chamacoco),cham1315,ceg,1,1364,2017,1207,0.44,0.00
Kalanga,kala1405,kck,1,1358,1771,78,0.04,0.00
Htanaw,dana1252,dnu,1,1353,1464,16,0.02,0.00
Jejueo,jeju1234,jje,1,1323,1590,13,0.01,0.00
Finnish (suomen kieli),nucl1717,fin,1,1306,1786,0,0.00,0.00
Andi (Muni),muni1255,ani,1,1299,1597,0,0.00,0.00
Andi,andi1255,ani,1,1289,1675,0,0.00,0.00
Namtrik de Totoró,toto1306,ttk,1,1285,12494,1282,2.09,0.00
Aghul (Koshan dialect),kosh1245,agx,1,1282,1703,0,0.00,0.00
Aghul,aghu1260,agx,1,1276,1661,0,0.00,0.00
Хызыл,khak1248,kjh,1,1181,1299,1062,0.30,0.00
Awajún,agua1253,agr,1,1160,1574,0,0.00,0.00
Chikunda,kund1255,kdn,1,1150,1324,34,0.01,0.42
Mahasuvi,maha1287,bfz,1,1149,3274,833,0.34,0.00
Ende,ende1235,kit,1,1129,1357,0,0.00,0.00
Monkox Besɨro (Chiquitano),chiq1248,cax,1,1093,1095,88,0.06,0.00
Upper Tanana (Nee’aanèegn’),uppe1437,tau,1,1092,3098,1092,0.68,0.00
Mokilese,maki1238,mkj,1,1070,1531,722,0.27,0.00
Northern Michif,mich1243,crg,1,1019,1743,1008,0.97,0.00
Aché,ache1246,guq,1,969,1259,0,0.00,0.00
Pingelapese,ping1243,pif,1,952,1158,246,0.07,0.00
Haryanvi,hary1238,bgc,1,941,1416,59,0.03,0.00
Angika,angi1238,anp,1,926,4431,13,0.01,0.00
Tacana,taca1256,tna,1,903,1361,0,0.00,0.00
Subi,subi1247,xsj,1,902,1007,785,0.30,0.00
Iñupiaq,inup1234,ipk,1,900,1500,900,0.53,0.00
Cinyungwe,nyun1248,nyu,1,862,1003,32,0.01,0.00
Temboka (a dialect of Melpa),melp1238,med,1,855,1752,789,0.59,0.00
Djudeo-espanyol,ladi1251,lad,1,843,5750,0,0.00,0.00
Ndau,ndau1241,ndc,1,840,906,101,0.04,0.00
Araona,arao1248,aro,1,802,1166,0,0.00,0.00
