iso_639_3,language_name,is_macrolanguage,matched_fineweb2,matched_huggingface,matched_commonvoice,num_sources_matched,any_match_via_iso639_2,matched_sources_label
qug,Chimborazo Highland Quichua,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
qup,Southern Pastaza Quechua,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
qus,Santiago del Estero Quichua,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
quy,Ayacucho Quechua,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
qva,Ambo-Pasco Quechua,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
qvi,Imbabura Highland Quichua,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
roh,Romansh,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ron,Romanian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
run,Rundi,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
rup,Macedo-Romanian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
rus,Russian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sag,Sango,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sah,Yakut,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sat,Santali,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sba,Ngambay,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
scn,Sicilian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sco,Scots,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sdh,Southern Kurdish,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sdo,Bukar-Sadung Bidayuh,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
seh,Sena,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
shi,Tachelhit,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
shn,Shan,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sin,Sinhala,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
skr,Saraiki,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
slk,Slovak,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
slv,Slovenian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sna,Shona,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
snd,Sindhi,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
som,Somali,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sot,Southern Sotho,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
spa,Spanish,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
srd,Sardinian,True,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
srp,Serbian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ssw,Swati,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
sun,Sundanese,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
swb,Maore Comorian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
swe,Swedish,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
szy,Sakizaya,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tah,Tahitian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tam,Tamil,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tar,Central Tarahumara,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tat,Tatar,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tay,Atayal,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tel,Telugu,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tgk,Tajik,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tha,Thai,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tig,Tigre,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tir,Tigrinya,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tiv,Tiv,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tob,Toba,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tok,Toki Pona,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
top,Papantla Totonac,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
trv,Sediq,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tsn,Tswana,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tso,Tsonga,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ttj,Tooro,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tui,Tupuri,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tuk,Turkmen,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
tum,Tumbuka,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
