subset,code,reason
gid_Latn,gid,not_in_cc_data
gil_Latn,gil,not_in_cc_data
giz_Latn,giz,not_in_cc_data
gjn_Latn,gjn,not_in_cc_data
gkn_Latn,gkn,not_in_cc_data
glk_Arab,glk,not_in_cc_data
gmh_Latn,gmh,not_in_cc_data
gmv_Ethi,gmv,not_in_cc_data
gmv_Latn,gmv,not_in_cc_data
gna_Latn,gna,not_in_cc_data
gnb_Latn,gnb,not_in_cc_data
gnd_Latn,gnd,not_in_cc_data
gng_Latn,gng,not_in_cc_data
gnn_Latn,gnn,not_in_cc_data
gnw_Latn,gnw,not_in_cc_data
goa_Latn,goa,not_in_cc_data
gof_Ethi,gof,not_in_cc_data
gof_Latn,gof,not_in_cc_data
gog_Latn,gog,not_in_cc_data
goh_Latn,goh,not_in_cc_data
gom_Deva,gom,not_in_cc_data
gom_Latn,gom,not_in_cc_data
gor_Latn,gor,not_in_cc_data
gos_Latn,gos,not_in_cc_data
gqr_Latn,gqr,not_in_cc_data
grc_Grek,grc,not_in_cc_data
grt_Beng,grt,not_in_cc_data
gso_Latn,gso,not_in_cc_data
gsw_Latn,gsw,not_in_cc_data
gub_Latn,gub,not_in_cc_data
guc_Latn,guc,not_in_cc_data
gud_Latn,gud,not_in_cc_data
gug_Latn,gug,not_in_cc_data
guh_Latn,guh,not_in_cc_data
gui_Latn,gui,not_in_cc_data
guk_Ethi,guk,not_in_cc_data
gul_Latn,gul,not_in_cc_data
gum_Latn,gum,not_in_cc_data
gun_Latn,gun,not_in_cc_data
guo_Latn,guo,not_in_cc_data
guq_Latn,guq,not_in_cc_data
gur_Latn,gur,not_in_cc_data
guu_Latn,guu,not_in_cc_data
guw_Latn,guw,not_in_cc_data
gux_Latn,gux,not_in_cc_data
guz_Latn,guz,not_in_cc_data
gvc_Latn,gvc,not_in_cc_data
gvf_Latn,gvf,not_in_cc_data
gvl_Latn,gvl,not_in_cc_data
gvn_Latn,gvn,not_in_cc_data
gwi_Latn,gwi,not_in_cc_data
gwr_Latn,gwr,not_in_cc_data
gya_Latn,gya,not_in_cc_data
gym_Latn,gym,not_in_cc_data
gyr_Latn,gyr,not_in_cc_data
hac_Arab,hac,not_in_cc_data
hae_Latn,hae,not_in_cc_data
hag_Latn,hag,not_in_cc_data
hak_Hani,hak,not_in_cc_data
hak_Latn,hak,not_in_cc_data
hav_Latn,hav,not_in_cc_data
hay_Latn,hay,not_in_cc_data
hbo_Hebr,hbo,not_in_cc_data
hch_Latn,hch,not_in_cc_data
heg_Latn,heg,not_in_cc_data
heh_Latn,heh,not_in_cc_data
her_Latn,her,not_in_cc_data
hif_Latn,hif,not_in_cc_data
hig_Latn,hig,not_in_cc_data
hil_Latn,hil,not_in_cc_data
hix_Latn,hix,not_in_cc_data
hla_Latn,hla,not_in_cc_data
hmo_Latn,hmo,not_in_cc_data
hmr_Latn,hmr,not_in_cc_data
hne_Deva,hne,not_in_cc_data
hnj_Latn,hnj,not_in_cc_data
hnn_Latn,hnn,not_in_cc_data
hns_Latn,hns,not_in_cc_data
hop_Latn,hop,not_in_cc_data
hot_Latn,hot,not_in_cc_data
hra_Latn,hra,not_in_cc_data
hrx_Latn,hrx,not_in_cc_data
hsb_Latn,hsb,not_in_cc_data
hto_Latn,hto,not_in_cc_data
hub_Latn,hub,not_in_cc_data
hui_Latn,hui,not_in_cc_data
hus_Latn,hus,not_in_cc_data
huu_Latn,huu,not_in_cc_data
huv_Latn,huv,not_in_cc_data
hvn_Latn,hvn,not_in_cc_data
hwc_Latn,hwc,not_in_cc_data
hyw_Armn,hyw,not_in_cc_data
ian_Latn,ian,not_in_cc_data
iba_Latn,iba,not_in_cc_data
ibg_Latn,ibg,not_in_cc_data
icr_Latn,icr,not_in_cc_data
ido_Latn,ido,not_in_cc_data
idu_Latn,idu,not_in_cc_data
ifa_Latn,ifa,not_in_cc_data
ifb_Latn,ifb,not_in_cc_data
ife_Latn,ife,not_in_cc_data
ifk_Latn,ifk,not_in_cc_data
ifu_Latn,ifu,not_in_cc_data
ify_Latn,ify,not_in_cc_data
ige_Latn,ige,not_in_cc_data
ign_Latn,ign,not_in_cc_data
ike_Cans,ike,not_in_cc_data
ikk_Latn,ikk,not_in_cc_data
ikt_Latn,ikt,not_in_cc_data
ikw_Latn,ikw,not_in_cc_data
ilb_Latn,ilb,not_in_cc_data
ilo_Latn,ilo,not_in_cc_data
imo_Latn,imo,not_in_cc_data
inb_Latn,inb,not_in_cc_data
inh_Cyrl,inh,not_in_cc_data
ino_Latn,ino,not_in_cc_data
iou_Latn,iou,not_in_cc_data
ipi_Latn,ipi,not_in_cc_data
iqw_Latn,iqw,not_in_cc_data
iri_Latn,iri,not_in_cc_data
irk_Latn,irk,not_in_cc_data
iry_Latn,iry,not_in_cc_data
isd_Latn,isd,not_in_cc_data
ish_Latn,ish,not_in_cc_data
iso_Latn,iso,not_in_cc_data
itv_Latn,itv,not_in_cc_data
ium_Latn,ium,not_in_cc_data
ivb_Latn,ivb,not_in_cc_data
ivv_Latn,ivv,not_in_cc_data
iws_Latn,iws,not_in_cc_data
ixl_Latn,ixl,not_in_cc_data
izr_Latn,izr,not_in_cc_data
izz_Latn,izz,not_in_cc_data
jaa_Latn,jaa,not_in_cc_data
jac_Latn,jac,not_in_cc_data
jae_Latn,jae,not_in_cc_data
jam_Latn,jam,not_in_cc_data
jbo_Latn,jbo,not_in_cc_data
jbu_Latn,jbu,not_in_cc_data
jic_Latn,jic,not_in_cc_data
jiv_Latn,jiv,not_in_cc_data
jmc_Latn,jmc,not_in_cc_data
jra_Latn,jra,not_in_cc_data
jun_Orya,jun,not_in_cc_data
jvn_Latn,jvn,not_in_cc_data
kaa_Cyrl,kaa,not_in_cc_data
kaa_Latn,kaa,not_in_cc_data
kab_Latn,kab,not_in_cc_data
kac_Latn,kac,not_in_cc_data
kak_Latn,kak,not_in_cc_data
kam_Latn,kam,not_in_cc_data
kao_Latn,kao,not_in_cc_data
kaq_Latn,kaq,not_in_cc_data
kbc_Latn,kbc,not_in_cc_data
kbd_Cyrl,kbd,not_in_cc_data
kbh_Latn,kbh,not_in_cc_data
kbm_Latn,kbm,not_in_cc_data
kbo_Latn,kbo,not_in_cc_data
kbp_Latn,kbp,not_in_cc_data
kbq_Latn,kbq,not_in_cc_data
kbr_Latn,kbr,not_in_cc_data
kby_Latn,kby,not_in_cc_data
kca_Cyrl,kca,not_in_cc_data
kcg_Latn,kcg,not_in_cc_data
kck_Latn,kck,not_in_cc_data
kdc_Latn,kdc,not_in_cc_data
kde_Latn,kde,not_in_cc_data
kdh_Latn,kdh,not_in_cc_data
kdi_Latn,kdi,not_in_cc_data
kdj_Latn,kdj,not_in_cc_data
kdl_Latn,kdl,not_in_cc_data
kdr_Latn,kdr,not_in_cc_data
kea_Latn,kea,not_in_cc_data
kei_Latn,kei,not_in_cc_data
kek_Latn,kek,not_in_cc_data
ken_Latn,ken,not_in_cc_data
keo_Latn,keo,not_in_cc_data
ker_Latn,ker,not_in_cc_data
kew_Latn,kew,not_in_cc_data
kez_Latn,kez,not_in_cc_data
kff_Telu,kff,not_in_cc_data
kgf_Latn,kgf,not_in_cc_data
kgk_Latn,kgk,not_in_cc_data
kgp_Latn,kgp,not_in_cc_data
kgr_Latn,kgr,not_in_cc_data
khk_Cyrl,khk,not_in_cc_data
khs_Latn,khs,not_in_cc_data
khz_Latn,khz,not_in_cc_data
kia_Latn,kia,not_in_cc_data
kij_Latn,kij,not_in_cc_data
kik_Latn,kik,not_in_cc_data
kiu_Latn,kiu,not_in_cc_data
kix_Latn,kix,not_in_cc_data
kjb_Latn,kjb,not_in_cc_data
kje_Latn,kje,not_in_cc_data
kjh_Cyrl,kjh,not_in_cc_data
kjs_Latn,kjs,not_in_cc_data
kkc_Latn,kkc,not_in_cc_data
kki_Latn,kki,not_in_cc_data
kkj_Latn,kkj,not_in_cc_data
kkl_Latn,kkl,not_in_cc_data
kle_Deva,kle,not_in_cc_data
klt_Latn,klt,not_in_cc_data
klv_Latn,klv,not_in_cc_data
kmb_Latn,kmb,not_in_cc_data
kmg_Latn,kmg,not_in_cc_data
kmh_Latn,kmh,not_in_cc_data
kmk_Latn,kmk,not_in_cc_data
kmm_Latn,kmm,not_in_cc_data
kmo_Latn,kmo,not_in_cc_data
kmr_Cyrl,kmr,not_in_cc_data
kmr_Latn,kmr,not_in_cc_data
kms_Latn,kms,not_in_cc_data
kmu_Latn,kmu,not_in_cc_data
kmy_Latn,kmy,not_in_cc_data
knc_Latn,knc,not_in_cc_data
kne_Latn,kne,not_in_cc_data
knf_Latn,knf,not_in_cc_data
kng_Latn,kng,not_in_cc_data
knj_Latn,knj,not_in_cc_data
knk_Latn,knk,not_in_cc_data
kno_Latn,kno,not_in_cc_data
