dataset_id,parquet_convertible,status_code,partial,partial_split_names_seen,num_shards
sentence-transformers/yahoo-answers,True,200,False,,5.0
sentence-transformers/eli5,True,200,False,,1.0
sentence-transformers/simple-wiki,True,200,False,,1.0
retarfi/economy-watchers-survey,True,200,False,,6.0
RadGenome/RadGenome-ChestCT,True,200,False,,2.0
VisionTheta/fineweb-1B,True,200,False,,3.0
Kay-Sun001/Toolusing-api,True,200,False,,1.0
rethinklab/Bench2Drive-Full,True,200,False,,0.0
allganize/RAG-Evaluation-Dataset-KO,True,200,False,,1.0
ewok-core/ewok-core-1.0,,401,,,
SeaLab/ShapeNet,True,200,False,,10.0
Forerunner/PKU-AIGI-500K,,500,,,
openbmb/RLAIF-V-Dataset,True,200,False,,0.0
ttgroup/blueneg-release,True,200,False,,0.0
CardinalOperations/IndustryOR,True,200,False,,1.0
paperswithbacktest/Stocks-Daily-Price,True,200,False,,4.0
efederici/evol-dpo-ita,True,200,False,,1.0
vidore/docvqa_test_subsampled,True,200,False,,1.0
nvidia/HelpSteer2,True,200,False,,2.0
zabir-nabil/bangla_newspaper_dataset,True,200,False,,6.0
Kubermatic/stackoverflow_QAs,True,200,False,,1.0
apple/DataCompDR-12M,True,200,True,,10.0
deatos/fineweb-edu-10b-combined,True,200,True,,4.0
oscar-corpus/community-oscar,,401,,,
MS92/MangaSegmentation,,401,,,
kensho/DocFinQA,True,200,False,,3.0
edinburgh-dawg/mmlu-redux,True,200,False,,30.0
ShenLab/MentalChat16K,True,200,False,,1.0
speechcolab/gigaspeech2,,401,,,
truepositive/hotdog_nothotdog,True,200,False,,2.0
apple/TiC-DataComp,False,501,,,
galileo-ai/ragbench,True,200,False,,36.0
ServiceNow/insight_bench,True,200,False,,0.0
mrdbourke/learn_hf_food_not_food_image_captions,True,200,False,,1.0
av555/aardvark-weather,,500,,,
klee972/VLind-Bench,True,200,False,,1.0
tyDiffusion/ControlNets,,500,,,
Aiwensile2/Minecraft_QA-pairs_Instruction_Dataset,True,200,False,,0.0
BAAI/Infinity-Instruct,,401,,,
metmuseum/openaccess,True,200,False,,52.0
latofat/uzbekpos,True,200,False,,2.0
leduckhai/VietMed-NER,True,200,False,,3.0
hf-audio/open-asr-leaderboard,True,200,False,,98.0
Lambent/1M-finewebedu-samples256t,True,200,False,,3.0
TucanoBR/GigaVerbo,True,200,False,,1573.0
DynamicSuperb/AAVESpeechRecognition_CORAAL,True,200,False,,1.0
badrex/LLM-generated-emoji-descriptions,True,200,False,,1.0
CohereLabs/fineweb-edu-350B-index,True,200,False,,0.0
lodestones/photo-anatomy,True,200,False,,1.0
LouisChen15/ConstructionSite,,401,,,
lesserfield/translate-en-ja-id,True,200,False,,1.0
walledai/StrongREJECT,,401,,,
walledai/AdvBench,,401,,,
Exploration-Lab/iSign,,401,,,
Aratako/Synthetic-JP-Conversations-Magpie-Nemotron-4-10k,True,200,False,,1.0
matrixglitch/wikiart-215k,True,200,False,,1.0
Mehyaar/Annotated_NER_PDF_Resumes,True,200,False,,0.0
MartimZanatti/Segmentation_judgments_STJ,False,501,,,
wasmdashai/wasm-dataset-sa-vitspro-v1,True,200,False,,1.0
mythicinfinity/libriheavy,True,200,False,,3292.0
NCSOFT/offsetbias,True,200,False,,1.0
sarulab-speech/J-CHAT,,401,,,
WHU-Sigma/HyperSIGMA_Datasets,,500,,,
HuggingFaceTB/smollm-corpus,True,200,False,,340.0
rulins/FineWeb-Edu-1BT,True,200,True,,10.0
HuggingFaceM4/Docmatix,True,200,False,,2027.0
BangumiBase/datealivev,True,200,False,,0.0
YANS-official/ogiri-bokete,True,200,False,,1.0
sujet-ai/Sujet-Financial-RAG-EN-Dataset,True,200,False,,2.0
SilentAntagonist/vintage-photography-450k-high-quality-captions,True,200,False,,1.0
allenai/achieve-the-core,True,200,False,,0.0
shi-labs/Agriculture-Vision,True,200,False,,0.0
meta-llama/Llama-3.1-70B-Instruct-evals,,401,,,
internlm/Lean-Github,True,200,False,,1.0
cfahlgren1/hub-stats,True,200,False,,6.0
nilc-nlp/CORAA-MUPE-ASR,True,200,False,,85.0
nreimers/wikipedia_0715_clean_cohere_embed-english-v3.0,True,200,False,,39.0
TeoGchx/HumanML3D,True,200,False,,10.0
LiXiang12/github-code-fontend-lang,True,200,True,,10.0
Pablinho/movies-dataset,True,200,False,,1.0
Mechanistic-Anomaly-Detection/gemma2-jailbreaks,True,200,False,,17.0
DanJoshua/RWF-2000,True,200,True,,8.0
Chennzi/hydraulic_QA_sft,True,200,False,,1.0
mesolitica/fineweb-filter-malaysian-context,True,200,False,,23781.0
dvgodoy/yoda_sentences,True,200,False,,1.0
IntelLabs/Intel_Robotic_Welding_Multimodal_Dataset,,401,,,
jasongzy/Mixamo,,401,,,
auniquesun/AirBirds,True,200,False,,0.0
viks66/SPIRE_EMA_CORPUS,True,200,False,,0.0
jiawennnn/STimage-1K4M,True,200,False,,0.0
chen-yingfa/CHUBS,True,200,False,,3.0
zai-org/LongWriter-6k,True,200,False,,1.0
nisten/all-human-diseases,True,200,False,,1.0
NousResearch/hermes-function-calling-v1,True,200,False,,5.0
shayekh/bengali-exams-public,,401,,,
youssefkhalil320/ShoppingAutoRegresiveDataFull,True,200,False,,3.0
THUIR/AEOLLM,True,200,False,,4.0
edinburgh-dawg/mmlu-redux-2.0,True,200,False,,57.0
tom-gibbs/multi-turn_jailbreak_attack_datasets,True,200,False,,0.0
multimolecule/rnacentral.1024,True,200,True,,9.0
manifoldlabs/Infinity-Instruct,True,200,True,,197.0
Bisher/ASVspoof_2021_DF,True,200,False,,0.0
trl-lib/chatbot_arena_completions,True,200,False,,2.0
wasmdashai/db-arabic-f1-nn,True,200,False,,2.0
jeffmeloy/sonnet3.5_science_conversations,True,200,False,,1.0
youjunhyeok/Magpie-Qwen2-Pro-200K-English-ko,True,200,False,,3.0
ergotts/propositional-logic,True,200,False,,1.0
ChaoticNeutrals/Cybersecurity-ShareGPT,True,200,False,,1.0
RichardErkhov/VGGFace2-HQ,True,200,False,,0.0
fjcanyue/wikipedia-zh-cn,True,200,True,,10.0
Salesforce/blip3-grounding-50m,True,200,False,,50.0
ytu-ce-cosmos/turkce-kitap,True,200,False,,1.0
NhutP/VietSpeech,,401,,,
JeffreyChou/MM-AU,,500,,,
SimpleStories/SimpleStories,True,200,False,,8.0
audreyeleven/MentalManip,True,200,False,,3.0
muhammetakkurt/mevzuat-gov-dataset,True,200,False,,1.0
ParsiAI/FarsInstruct,True,200,False,,84.0
it-just-works/vast27m_annotations,True,200,False,,51.0
common-pile/caselaw_access_project,True,200,True,,10.0
InternScience/ChartX,True,200,False,,2.0
autonomousvision/PDM_Lite_Carla_LB2,True,200,False,,0.0
BAAI/IndustryCorpus2_finance_economics,True,200,True,,4.0
farabi-lab/kazakh-stt,,401,,,
5CD-AI/Viet-ShareGPT-4o-Text-VQA,,401,,,
toloka/beemo,True,200,False,,1.0
SEU-WYL/GSO-SAD,True,200,False,,0.0
BAAI/CCI3-HQ,,401,,,
trl-lib/Capybara,True,200,False,,2.0
Lichess/chess-puzzles,True,200,False,,3.0
wikimedia/structured-wikipedia,True,200,False,,112.0
projectaria/Nymeria,False,501,,,
saeed-5959/celebv_hq_head_talking,True,200,False,,1.0
ordaktaktak/Persian-OCR-230k,True,200,False,,2.0
